,title_2011,place_2011,title_2017,place_2017,sex,guid
162,Full Professor,"University of Illinois, Urbana Champaign",,,M,1df81a99d2ca461d9d3efe244571318a
163,Associate Professor,"University of California, Los Angeles",,,M,f0f7027c6fcc451c8d7019c1819dc7ed
164,Associate Professor,University of Waterloo,,,M,a6d270d6ab5d4fd59634dad0b8ebb2f7
165,Associate Professor,Michigan State University,,,M,bd2dc6989b5347ea820e0bb4d8dbf03d
166,Full Professor,Carnegie Mellon University,,,M,cd4639eb17914522b019375a460e6eba
167,Full Professor,Massachusetts Institute of Technology,,,M,7d0576f1624546b18d19f365bb0ddefe
168,Associate Professor,Carnegie Mellon University,,,F,dca80d4c066d45db9e370922cd260797
169,Assistant Professor,"University of Alabama, Tuscaloosa",,,M,4a16ab959f3648ba8f6f2ff8847b6e74
170,Associate Professor,Memorial University of Newfoundland,,,F,2b549244763d40ca8a8c14056f2b65fb
171,Associate Professor,"University of Alabama, Tuscaloosa",,,M,faccdb9766e943a684f2d30cf6904fc0
172,Associate Professor,"University of Missouri, Columbia",,,M,ce41f1f497564abb9f0acc0aaac1a831
173,Full Professor,Georgia Institute of Technology,,,F,350cebe914fa45f7be576d6a42bb499e
174,Full Professor,University of Maryland,,,M,9de3f40b855b481eafc08adcf84e355b
175,Full Professor,"University of Illinois, Chicago",,,M,e12b673393d045c7a60f090f8ec25d48
176,Full Professor,"University of California, Santa Barbara",,,M,45391f5edcce4d499c765f23c1b3a1e3
177,Full Professor,University of Manitoba,,,M,d17a8425596a4cb9a6be1b151d204b48
178,Assistant Professor,College of William & Mary,,,M,8a5c725113e5411799f19dafc3d788c3
179,Full Professor,"University of Illinois, Urbana Champaign",,,M,5c1ada1973384a1b861f02bb752ca521
180,Full Professor,University of Michigan,,,M,261950c82f9f42799550ac1a4aca9542
181,Assistant Professor,Case Western Reserve University,,,M,f9643d5232fe44a493747f2d5f910953
182,Full Professor,Texas A&M University,,,M,fe2a82221a4b493cb93b963b540ae3c8
183,Assistant Professor,University of Victoria,,,F,5771efff0e6a445d93c514db88adb4ea
184,Full Professor,University of Washington,,,M,79fdc1b122ee4b0daf0feaf06da92f82
185,Associate Professor,University of Minnesota,,,M,610b8e175b3b47bdb14ee3702c196071
186,Full Professor,University of Michigan,,,M,c9f49d3f41d04c329414c651ef5b262c
187,Associate Professor,Rochester Institute of Technology,,,F,90081b220e9746bfb24c278f7f4b412c
188,Assistant Professor,"Stony Brook University, SUNY",,,F,d32573261d0342b5b0252dc3440b30bf
189,Assistant Professor,University of Chicago,,,M,376cc8408e624ce1916e2656d34092f2
190,Assistant Professor,Yale University,,,M,d2adcb6919a74ca5b706ff4804f0aba3
191,Full Professor,Indiana University,,,M,d1b6ec41feb346149af6fb37c58d4468
192,Full Professor,"University of Illinois, Urbana Champaign",,,M,40ea9c0ee1284f74b395bf2d077dff38
193,Full Professor,Michigan State University,,,M,2d01adeade414486a2f772265c7f8f8a
194,Full Professor,University of Houston,,,M,4db82984f1ab43f489a2f602a56851e2
195,Full Professor,Drexel University,,,M,c03298510854457fac6172826aa3fa15
196,Full Professor,Rensselaer Polytechnic Institute,,,M,8f6ff04257774d6394bfae858503bb57
197,Full Professor,Pennsylvania State University,,,M,915be7905877458386b93ac4c20f1f70
198,Associate Professor,University of Kansas,,,M,743446f9c1fe406da26124fb61e17df0
199,Full Professor,Massachusetts Institute of Technology,,,M,f160bc855c23416d9219d9a9584b29e2
200,Full Professor,University of Maryland,,,M,56bae0caa21840e0b1c2ccff8a20e87c
201,Associate Professor,University of Waterloo,,,M,f3d36a68425648e7908e1b2bcb684673
202,Full Professor,University of Louisville,,,M,318a431265ad40dc9a17cc32dbdb652e
203,Assistant Professor,Rice University,,,M,a13fccce6fba45fabfb05aa1de7745c3
204,Associate Professor,University of South Florida,,,M,5629f7b10f224111b268a57f0687ba3a
205,Full Professor,Tufts University,,,F,719162091c5e473aaaf0e455037155a6
206,Full Professor,Yale University,,,M,95ae8a7aaee14ce8863b0e001cde9f85
207,Associate Professor,Claremont Graduate University,,,F,bdcc5b730d8149cf9a0d21b2e1842a81
208,Associate Professor,Kansas State University,,,M,3e4f1fe289f940dfb9cd3b7591647052
209,Full Professor,Yale University,,,M,fdae6fc6909443f39be72fdbe006c82e
210,Full Professor,Georgia Institute of Technology,,,M,3770cb4a16f541a6ab4f9466c5c5643a
211,Full Professor,Syracuse University,,,M,ee5ea5d66e82411190e27bc20a06b189
212,Full Professor,Columbia University,,,M,2a6d4cd9a60648749e34cbab1e4cd436
213,Associate Professor,University of Notre Dame,,,M,82601f168ce44cc0aafc0a0d845ca5ff
214,Full Professor,"University of California, San Diego",,,M,b29aee4fdeed43d495cd1650d632a261
215,Associate Professor,Simon Fraser University,,,M,233dea824243459fa377f1c7b467b421
216,Full Professor,Harvard University,,,M,aac278e83c944329bf098cc36875affc
217,Full Professor,"University of Colorado, Boulder",,,M,1fea73edb3b84232a110f2f119a70f51
218,Full Professor,"University of Massachusetts, Amherst",,,F,01b49bac49cc4900817f941137f1d425
